#T [K]    log Lambda (erg/s/cm^3)
964208256    -26.2403    
24190290    -26.8667    
21165066    -26.8740    
19046630    -26.8739    
17020266    -26.8702    
15210031    -26.8481    
13497098    -26.8260    
12318687    -26.8039    
11008500    -26.7818    
9837380    -26.7744    
8790659    -26.7780    
7530884    -26.7779    
6.82458e+06    -26.8036    
5846312    -26.8255    
5.26096e+06    -26.8438    
4603126    -26.8401    
3915803    -26.8437    
3402335    -26.8142    
3.12730e+06    -26.7737    
2814530    -26.7296    
2.66088e+06    -26.6744    
2.41175e+06    -26.6082    
2.21689e+06    -26.5457    
1.96738e+06    -26.4832    
1.77064e+06    -26.4317    
1.56026e+06    -26.3986    
1.36523e+06    -26.3691    
1.22003e+06    -26.3470    
1.09795e+06    -26.3322    
988067    -26.3248    
870618    -26.3211    
761756    -26.3173    
700133    -26.3099    
625669    -26.2878    
587343    -26.2547    
532292    -26.2473    
469023    -26.2399    
419136    -26.2215    
385260    -26.1737    
361681    -26.1112    
341939    -26.0523    
325559    -25.9862    
312149    -25.9237    
291000    -25.8465    
277059    -25.7840    
256457    -25.7472    
240743    -25.7251    
218177    -25.7214    
197717    -25.7397    
179173    -25.7690    
161228    -25.8057    
146111    -25.8167    
127839    -25.8203    
115049    -25.7945    
105745    -25.7724    
98570.9    -25.7467    
88082.1    -25.7540    
81521.4    -25.7870    
76516.8    -25.8274    
70816.5    -25.8678    
69332.1    -25.9155    
65072.9    -25.9780    
60646.7    -26.0477    
55731.5    -26.1249    
52309.0    -26.1763    
47734.8    -26.2313    
42953.0    -26.2791    
39756.8    -26.2717    
34786.8    -26.2495    
31307.2    -26.2127    
28574.7    -26.1760    
26264.8    -26.1355    
23470.8    -26.1244    
20825.8    -26.1464    
19546.6    -26.2051    
18345.9    -26.2639    
17462.8    -26.3264    
16738.7    -26.4108    
16271.8    -26.4953    
15706.7    -26.5945    
15484.5    -26.6901    
15052.7    -26.7709    
14631.7    -26.8958    
13731.2    -27.0207    
12886.2    -27.1420    
11840.2    -27.2889    
11033.2    -27.4359    
10428.1    -27.5167    
9449.21    -27.5901    
8442.71    -27.6599    
7596.63    -27.7296    
6646.18    -27.7700    
5773.69    -27.8287    
5122.91    -27.8617    
4388.41    -27.9021    
3706.70    -27.9461    
3243.01    -27.9754    
2817.46    -28.0010    
2363.16    -28.0340    
1954.44    -28.0670    
1686.06    -28.1000    
1384.69    -28.1293    
1186.18    -28.1586    
981.020    -28.1952    
840.383    -28.2245    
709.846    -28.2612    
603.819    -28.2942    
513.615    -28.3419    
436.886    -28.3896    
382.228    -28.4262    
327.414    -28.4849    
284.434    -28.5400    
247.098    -28.5914    
216.175    -28.6501    
191.796    -28.7162    
171.372    -28.7712    
153.123    -28.8226    
134.905    -28.8813    
123.107    -28.9401    
104.710    -29.0208    
89.6918    -29.0906    
82.4255    -29.1493    
74.1675    -29.2044    
67.2077    -29.2595    
60.4739    -29.3182    
54.7983    -29.3806    
49.3067    -29.4504    
44.3652    -29.5238    
41.6404    -29.5789    
37.4675    -29.6487    
34.9190    -29.7184    
32.0891    -29.7919    
29.6956    -29.8837    
26.9075    -29.9682    
25.2540    -30.0416    
23.5354    -30.1298    
21.4762    -30.2106    
20.2986    -30.2877    
18.9175    -30.3685    
17.3836    -30.4640    
15.9750    -30.5338    
14.8884    -30.6036    
13.4909    -30.6734    
12.0539    -30.7394    
10.9997    -30.8019    
