#T [K]    log Lambda [erg/s/cm^3]
972247680    -26.2206    
18903708    -26.9338    
17373118    -26.9485    
14881643    -26.9559    
12837479    -26.9485    
11231045    -26.9522    
9756742    -26.9485    
8416542    -26.9669    
7.31170e+06    -26.9816    
6487394    -27.0037    
5.63579e+06    -27.0257    
4.79372e+06    -27.0441    
4135244    -27.0478    
3.51737e+06    -27.0515    
3.05565e+06    -27.0294    
2.71116e+06    -26.9963    
2.40551e+06    -26.9449    
2.14939e+06    -26.8860    
1920536    -26.8456    
1.70402e+06    -26.8088    
1522587    -26.7757    
1.30423e+06    -26.7537    
1133026    -26.7390    
950267    -26.7316    
813990    -26.7353    
692367    -26.7243    
597262    -26.6949    
545055    -26.6728    
470185    -26.6544    
411348    -26.6287    
375391    -26.5699    
354845    -26.5037    
330735    -26.4228    
306965    -26.3441    
288535    -26.2647    
263685    -26.2000    
236939    -26.1618    
204681    -26.1618    
175822    -26.1676    
146016    -26.1647    
127564    -26.1412    
117236    -26.0971    
106537    -26.0500    
99578.7    -26.0118    
90491.6    -25.9853    
84581.0    -25.9853    
79056.5    -26.0059    
74729.4    -26.0382    
70242.6    -26.1059    
66772.7    -26.1706    
62061.0    -26.2471    
57681.8    -26.3559    
52713.9    -26.4353    
48994.3    -26.4765    
44273.3    -26.4853    
40007.3    -26.4529    
36768.0    -26.4088    
32485.4    -26.3559    
29026.6    -26.3088    
26526.6    -26.2471    
24105.9    -26.2029    
22404.9    -26.1529    
21418.4    -26.1353    
19907.0    -26.1676    
19030.5    -26.2059    
18192.5    -26.2735    
17391.5    -26.3382    
16719.5    -26.4382    
15983.3    -26.4941    
15539.7    -26.5824    
15279.5    -26.7000    
15023.7    -26.8235    
14121.6    -27.0059    
11661.9    -27.4324    
10188.2    -27.7324    
9522.75    -27.8147    
8850.80    -27.9029    
7997.96    -27.9765    
7106.28    -28.0176    
5802.78    -28.0882    
4765.13    -28.1412    
4002.14    -28.1912    
3286.47    -28.2441    
1936.14    -28.3647    
1166.60    -28.4676    
743.622    -28.5824    
490.287    -28.6941    
317.845    -28.8529    
207.217    -29.0471    
125.561    -29.2853    
74.8083    -29.5500    
48.7707    -29.7824    
35.9873    -29.9971    
28.0923    -30.1794    
20.6126    -30.4059    
15.7323    -30.6029    
13.5904    -30.6647    
11.3502    -30.7588    
