#T [K]    log Lambda (erg/s/cm^3)
964242752    -26.2219    
849577216    -26.2476    
743318976    -26.2622    
654934528    -26.2805    
577059456    -26.2988    
504885568    -26.3134    
435558016    -26.3428    
394716736    -26.3574    
345343808    -26.3794    
308591776    -26.3940    
275746976    -26.4160    
242961008    -26.4306    
221732592    -26.4453    
203786736    -26.4599    
175804096    -26.4893    
151668176    -26.5039    
142363296    -26.5222    
125436472    -26.5369    
109744752    -26.5662    
92700648    -26.5881    
83420344    -26.5991    
73500184    -26.6248    
63409440    -26.6394    
53939428    -26.6613    
46207472    -26.6833    
40144396    -26.7053    
35122956    -26.7273    
29878302    -26.7345    
26326372    -26.7381    
22396050    -26.7270    
19734598    -26.7049    
17885410    -26.6828    
16324096    -26.6534    
15110602    -26.6055    
13599235    -26.5651    
12766472    -26.5209    
11652018    -26.4915    
10709885    -26.4621    
9638265    -26.4436    
8612854    -26.4399    
7642503    -26.4435    
6781475    -26.4471    
5933218    -26.4691    
5264613    -26.4874    
4638690    -26.4984    
4.11611e+06    -26.4983    
3.75669e+06    -26.4835    
3.45296e+06    -26.4504    
3.17384e+06    -26.4100    
2.97955e+06    -26.3548    
2797092    -26.3107    
2553083    -26.2482    
2.38000e+06    -26.1930    
2.25012e+06    -26.1268    
2.09759e+06    -26.0680    
1.98305e+06    -26.0202    
1.86160e+06    -25.9797    
1.71107e+06    -25.9540    
1594992    -25.9245    
1415356    -25.9061    
1273737    -25.8877    
1.12237e+06    -25.8656    
982030    -25.8618    
908950    -25.8581    
823743    -25.8580    
736105    -25.8543    
671828    -25.8396    
621850    -25.8211    
559632    -25.7990    
503636    -25.7806    
450054    -25.7769    
416575    -25.7585    
393824    -25.7143    
369714    -25.6629    
351996    -25.6077    
337497    -25.5452    
323595    -25.4827    
312451    -25.4276    
297478    -25.3724    
281238    -25.3173    
269638    -25.2842    
251340    -25.2658    
235934    -25.2547    
221469    -25.2510    
203543    -25.2694    
184455    -25.2913    
170719    -25.3134    
158003    -25.3501    
144195    -25.3721    
133460    -25.3867    
123529    -25.3793    
111165    -25.3793    
105083    -25.3866    
98642.1    -25.3755    
89392.7    -25.3902    
83905.4    -25.4269    
77656.4    -25.4562    
73403.3    -25.4966    
70862.7    -25.5334    
66512.4    -25.5738    
62869.6    -25.6141    
59844.4    -25.6656    
56566.8    -25.7060    
53467.6    -25.7574    
50184.8    -25.8014    
47435.3    -25.8528    
44838.0    -25.8859    
42085.1    -25.9300    
39225.0    -25.9667    
37077.8    -25.9924    
34559.4    -26.0070    
31318.4    -26.0290    
28784.5    -26.0290    
26455.8    -26.0252    
24488.6    -25.9885    
22667.5    -25.9553    
21426.5    -25.9847    
20396.2    -26.0178    
19968.5    -26.0692    
19007.8    -26.1169    
18220.9    -26.1647    
12536.5    -26.8296    
11766.0    -26.9104    
11278.5    -26.9765    
10887.7    -27.0316    
10363.5    -27.0978    
9727.15    -27.1455    
9194.15    -27.2006    
8629.59    -27.2483    
7986.66    -27.2924    
7496.46    -27.3254    
6937.95    -27.3695    
6287.12    -27.4062    
5818.92    -27.4318    
5310.31    -27.4649    
4880.45    -27.4869    
4391.71    -27.5162    
4007.90    -27.5419    
3581.35    -27.5602    
3268.34    -27.5895    
2900.02    -27.6115    
2573.24    -27.6262    
2251.36    -27.6481    
2011.77    -27.6628    
1823.14    -27.6738    
1675.59    -27.6884    
1486.80    -27.6957    
1328.54    -27.7250    
1162.40    -27.7286    
1024.18    -27.7506    
889.783    -27.7763    
812.022    -27.8019    
730.719    -27.8203    
652.960    -27.8312    
579.358    -27.8679    
536.229    -27.8789    
482.529    -27.9082    
434.211    -27.9339    
396.258    -27.9669    
356.573    -27.9999    
327.702    -28.0330    
288.724    -28.0733    
257.985    -28.1137    
233.782    -28.1540    
219.432    -28.1908    
198.844    -28.2385    
184.033    -28.2715    
169.129    -28.3156    
157.635    -28.3523    
143.853    -28.3963    
129.442    -28.4477    
116.474    -28.4991    
107.038    -28.5578    
96.3150    -28.6092    
86.0564    -28.6753    
76.8915    -28.7341    
69.1870    -28.7965    
63.5814    -28.8589    
57.6150    -28.9140    
51.8416    -28.9800    
47.6410    -29.0461    
43.7802    -29.1196    
39.6699    -29.2004    
36.4548    -29.2775    
33.4998    -29.3620    
31.0020    -29.4391    
28.0914    -29.5199    
26.3645    -29.6044    
25.0946    -29.6815    
23.5519    -29.7697    
21.3392    -29.8872    
20.1677    -29.9974    
18.7942    -30.1150    
17.6381    -30.2215    
15.9814    -30.3280    
14.7888    -30.4382    
13.7821    -30.5374    
13.0263    -30.6145    
11.9705    -30.6953    
11.2352    -30.7578    
