# lambda             NIKATRANS    FREQ     
  748.938263039159   0.0          400.28995
  755.0271428684301  0.0          397.06183
  761.2158985731425  0.0          393.83368
  767.5069479044346  0.0          390.60553
  773.9028482065977  0.0          387.37738
  780.406242785198   0.0          384.14923
  787.0198645495097  0.0          380.92108
  793.7465398417387  0.0          377.69293
  800.5891272190789  0.0          374.4648 
  807.5507815324082  0.0          371.23666
  814.6345703041147  0.0          368.0085 
  821.8437360465545  0.0          364.78036
  829.1816370762626  0.0          361.55222
  836.6517527303648  0.0          358.32407
  844.2576888675219  0.0          355.09592
  852.0031097772386  0.0          351.8678 
  859.8920385090488  0.0          348.63965
  867.9284240611165  0.0          345.4115 
  876.1164397456305  0.0          342.18335
  884.4604178583301  0.0          338.9552 
  892.9648573219561  0.0          335.72705
  901.6343490207039  0.0          332.49893
  910.4739137511359  0.0          329.27078
  919.4885196130765  0.0          326.04263
  928.6834178479172  0.0          322.81448
  938.064071868723   0.0          319.58633
  947.6361680853331  0.0          316.3582 
  957.4056273990573  0.0          313.13004
  967.3785221532219  0.0          309.90192
  977.5614681518299  0.0          306.67377
  987.9610728809914  0.0          303.44562
  998.584325341961   0.0          300.21747
  1009.4385184060498 0.09070421   296.98932
  1020.531265510807  0.1318366    293.76117
  1031.8705184692822 0.14332363   290.53302
  1043.464475642916  0.31060565   287.3049 
  1055.3220430622046 0.36653182   284.07675
  1067.4521986233174 0.5095354    280.8486 
  1079.8644512285114 0.625298     277.62045
  1092.5687572584436 0.7351198    274.3923 
  1105.5755472078295 0.801091     271.16415
  1118.8956268057507 0.8278199    267.93604
  1132.540714302645  0.94834155   264.7079 
  1146.522718012065  0.96905994   261.47974
  1160.8542723098965 0.9917695    258.2516 
  1175.548651288178  1.0          255.02344
  1190.6197376110774 0.8215382    251.7953 
  1206.0823534376743 0.8825701    248.56715
  1221.9518807891538 0.7541118    245.339  
  1238.2445961501046 0.7636565    242.11086
  1254.9775756538727 0.6290035    238.88272
  1272.1690737824706 0.5466409    235.65457
  1289.8381142154649 0.4696536    232.42642
  1308.0047877463287 0.34316948   229.19829
  1326.6905969255959 0.26894167   225.97014
  1345.9180245413995 0.3021744    222.74199
  1365.710870626704  0.22491695   219.51385
  1386.0946437255636 0.15047085   216.2857 
  1407.0961078030844 0.047136202  213.05756
  1428.7437717151297 0.1445659    209.8294 
  1451.0678189532932 0.06849106   206.60127
  1474.1006743106245 0.06279327   203.37312
  1497.876526078318  0.0064856596 200.14497
  1522.431797146285  0.053781174  196.91684
  1547.8056964131954 0.0          193.68869
  1574.0397290990195 0.0          190.46054
  1601.1782544381579 0.0          187.2324 
  1629.2691406082295 0.0          184.00426
  1658.3632741525253 0.0          180.77611
  1688.5153777350438 0.0          177.54796
  1719.7840770180976 0.0          174.31982
  1752.232879491261  0.0          171.09167
  1785.9297146439121 0.0          167.86353
  1820.9478275022718 0.0          164.63539
  1857.3668356958344 0.0          161.40724
  1895.2723361706662 0.0          158.1791 
  1934.7570443064437 0.0          154.95096
  1975.9221457619828 0.0          151.72281
  2018.8770368120995 0.0          148.49466
  2063.7410369385643 0.0          145.26651
  2110.644086124409  0.0          142.03838
  2159.7289024570227 0.0          138.81023
  2211.151094415659  0.0          135.58208
  2265.08142860529   0.0          132.35394
  2321.708544619793  0.0          129.1258 
  2381.239475222155  0.0          125.89765
