# lambda             NIKATRANS    FREQ      
  1293.4876957946767 0.0          231.77063 
  1312.509655001101  0.0          228.41162 
  1332.0993460315983 0.0          225.05263 
  1352.2826638995869 0.0          221.69363 
  1373.0870067591372 0.0          218.33464 
  1394.541485148464  0.0          214.97565 
  1416.67705789339   0.0          211.61665 
  1439.5266811627525 0.0          208.25766 
  1463.1254721849975 0.0          204.89867 
  1487.5108893364254 0.0          201.53967 
  1512.7229305434898 0.0012369223 198.18068 
  1538.8043522094665 0.010198117  194.82169 
  1565.800911186027  0.0061980197 191.46269 
  1593.7616326703312 0.013453938  188.1037  
  1622.7391073272452 0.026834732  184.7447  
  1652.7898214251284 0.065999515  181.38571 
  1683.9746686800677 0.18109572   178.0267  
  1716.358788436784  0.4279737    174.66771 
  1750.0128733348013 0.68955857   171.30872 
  1785.013121261829  0.8525673    167.94972 
  1821.4419503395782 0.9168948    164.59073 
  1859.388646864619  0.93919605   161.23174 
  1898.9500959650688 0.94966775   157.87274 
  1940.2316075602992 0.9396896    154.51375 
  1983.3478524485674 0.92178506   151.15475 
  2028.4239260429265 0.94817257   147.79576 
  2075.59656053535   0.96442235   144.43677 
  2125.0155102271083 0.84237623   141.07777 
  2176.845139590349  0.7152494    137.71878 
  2231.2662495388345 0.6683959    134.35979 
  2288.4781846633095 0.56251323   131.0008  
  2348.7014135745007 0.43351945   127.64179 
  2412.1798106737297 0.26232913   124.2828  
  2479.1847842770776 0.119272955  120.923805
  2550.0186122725304 0.04597356   117.56481 
  2625.019310002202  0.012399524  114.20581 
  2704.5653277991737 0.0          110.84682 
  2789.082970296928  0.0          107.48782 
  2879.053362325505  0.0          104.12883 
  2975.021778672851  0.0          100.76984 
  3077.608704418933  0.0          97.41084       
