# lambda               TRANSMISSION   
  8984.436031874657    1.0019188E-9   
  8850.339971697422    1.0616628E-9   
  8720.187913290107    1.1261418E-9   
  8593.808378314889    1.195794E-9    
  8471.039687196106    1.2711014E-9   
  8351.729269066582    1.3525979E-9   
  8235.733029218436    1.4408772E-9   
  8122.914768544211    1.5365925E-9   
  8013.145650050369    1.6404714E-9   
  7906.303708049699    1.7533229E-9   
  7802.273396101675    1.8760455E-9   
  7700.945170178277    2.0096391E-9   
  7602.215103893941    2.1552173E-9   
  7505.984532958574    2.3140225E-9   
  7412.159726296592    2.4874467E-9   
  7320.651581527499    2.6770404E-9   
  7231.375342728382    2.8845446E-9   
  7144.250338599125    3.111907E-9    
  7059.199739330088    3.361315E-9    
  6976.150330632087    3.6352301E-9   
  6895.032303531714    3.936417E-9    
  6815.779058663533    4.267991E-9    
  6738.327023905993    4.633477E-9    
  6662.615484311544    5.036844E-9    
  6588.586423374748    5.4825935E-9   
  6516.184374766235    5.975812E-9    
  6445.356283736167    6.522288E-9    
  6376.051377459434    7.1285853E-9   
  6308.221043656675    7.802177E-9    
  6241.818716881341    8.5515826E-9   
  6176.799771913827    9.386525E-9    
  6113.121423749767    1.0318123E-8   
  6050.742633711503    1.1359105E-8   
  5989.6240212497705   1.2524075E-8   
  5929.727781037274    1.3829809E-8   
  5871.0176049874      1.529561E-8    
  5813.458608860073    1.6943737E-8   
  5757.017263142983    1.8799934E-8   
  5701.661327920455    2.0893921E-8   
  5647.35979146407     2.3260228E-8   
  5594.082812299315    2.5938906E-8   
  5541.801664520816    2.8976622E-8   
  5490.488686145623    3.2427764E-8   
  5440.117230309425    3.6355885E-8   
  5390.661619124795    4.083548E-8    
  5342.09710003358     4.5953914E-8   
  5294.399804497566    5.1813995E-8   
  5247.5467088825435   5.8536926E-8   
  5201.515597401118    6.62659E-8     
  5156.285026988934    7.5170675E-8   
  5111.83429399765     8.545272E-8    
  5068.143402595961    9.7352014E-8   
  5025.193034777351    1.11155074E-7  
  4982.964225884183    1.2720474E-7   
  4941.439817531062    1.4591278E-7   
  4900.601185639873    1.6777466E-7   
  4860.432607407602    1.9338877E-7   
  4820.916618095103    2.2347987E-7   
  4782.038533094576    2.589286E-7    
  4743.7824930921      3.0080867E-7   
