# WAVENUMBER   TRANSMISSION    UNCERTAINTY     FLAG    lambda              
  4.4516206    1.0680745E-9    9.70798E-12     false   2246.3729383631157  
  4.4684825    1.1670517E-9    1.26410445E-11  false   2237.896201369169   
  4.485345     1.2761313E-9    1.768858E-11    false   2229.4829611596297  
  4.502207     1.3964413E-9    2.061541E-11    false   2221.1329774411947  
  4.519069     1.5292368E-9    1.6482399E-11   false   2212.8450725031457  
  4.5359316    1.6759402E-9    2.3769814E-11   false   2204.618788382238   
  4.5527935    1.8381294E-9    4.4412325E-11   false   2196.45367044062    
  4.569656     2.0175932E-9    6.790009E-11    false   2188.348582314813   
  4.586518     2.2163396E-9    3.6990983E-11   false   2180.303317781908   
  4.60338      2.4366211E-9    3.136647E-11    false   2172.3167669153927  
  4.6202426    2.6809888E-9    3.6508963E-11   false   2164.3885127084363  
  4.6371045    2.9523075E-9    5.6899558E-11   false   2156.518140946679   
  4.653967     3.2538252E-9    3.2946493E-11   false   2148.7045797594196  
  4.670829     3.5891967E-9    2.8782834E-11   false   2140.9476533872194  
  4.687691     3.962573E-9     3.4739076E-11   false   2133.246314313554   
  4.7045536    4.3786565E-9    4.9615312E-11   false   2125.6001826038973  
  4.7214155    4.8427595E-9    6.765667E-11    false   2118.008880651326   
  4.738278     5.3609392E-9    6.4509155E-11   false   2110.471396027469   
  4.75514      5.940051E-9     5.8182E-11      false   2102.9875802363977  
  4.772002     6.5879253E-9    6.0592496E-11   false   2095.556443324053   
  4.7888646    7.3134525E-9    7.302114E-11    false   2088.177638961037   
  4.8057265    8.1267775E-9    7.885141E-11    false   2080.850822739739   
  4.822589     9.039524E-9     8.886361E-11    false   2073.575037113018   
  4.839451     1.00649125E-8   1.3496484E-10   false   2066.3501580047187  
  4.856313     1.121814E-8     9.665453E-11    false   2059.1752486418727  
  4.873175     1.251656E-8     1.570866E-10    false   2052.050193991285   
  4.8900375    1.3980167E-8    6.4946387E-10   false   2044.9740774198176  
  4.9069       1.5631832E-8    7.5410833E-10   false   2037.9465945096044  
  4.923762     1.7498024E-8    1.8051147E-10   false   2030.9674422811738  
  4.940624     1.960906E-8     1.9696551E-10   false   2024.035733174794   
  4.957486     2.2000078E-8    1.8369288E-10   false   2017.1513731121     
  4.9743485    2.471168E-8     2.0020124E-10   false   2010.3134931913594  
  4.991211     2.7790673E-8    2.7353428E-10   false   2003.5218156916455  
  5.008073     3.129166E-8     2.5475913E-10   false   1996.7760640369277  
  5.0249352    3.5277623E-8    2.006526E-10    false   1990.0753962805084  
  5.041797     3.982219E-8     6.599633E-10    false   1983.4197371426358  
  5.0586596    4.501084E-8     7.8789975E-10   false   1976.8082619883269  
  5.075522     5.094345E-8     9.3070085E-10   false   1970.2407174050024  
  5.092384     5.7736816E-8    1.3444893E-9    false   1963.7168508684347  
  5.1092463    6.552748E-8     1.4302319E-9    false   1957.2358627723388  
  5.126108     7.447588E-8     2.0376727E-9    false   1950.7976947093587  
  5.1429706    8.477054E-8     1.7197292E-9    false   1944.4015631595896  
  5.159833     9.663264E-8     9.543839E-10    false   1938.0472368702426  
  5.176695     1.1032513E-7    1.8116836E-9    false   1931.73448525264    
  5.1935573    1.2615675E-7    2.1080815E-9    false   1925.462548060772   
  5.210419     1.4449363E-7    1.2786282E-9    false   1919.2313820365457  
  5.2272816    1.6577232E-7    1.2294102E-9    false   1913.0402419031443  
