# WAVENUMBER   TRANSMISSION   UNCERTAINTY     FLAG    lambda              
  8.751542     1.1019523E-9   3.1441778E-12   false   1142.6557623326228  
  8.768405     1.2432277E-9   8.663546E-12    false   1140.4582754671108  
  8.785267     1.4040596E-9   6.921862E-12    false   1138.2693480908638  
  8.80213      1.5873581E-9   1.1161641E-11   false   1136.088684120029   
  8.818992     1.7964995E-9   1.7903713E-11   false   1133.916482100936   
  8.835854     2.0354198E-9   1.20983E-11     false   1131.752570732377   
  8.852716     2.3086695E-9   1.4202956E-11   false   1129.5967809525328  
  8.869578     2.6215823E-9   1.680858E-11    false   1127.4493095854632  
  8.886441     2.9803664E-9   1.8069993E-11   false   1125.309867055644   
  8.903303     3.392255E-9    2.0969068E-11   false   1123.1786490484467  
  8.920165     3.8657433E-9   2.3278364E-11   false   1121.055488385007   
  8.937028     4.410788E-9    3.3636736E-11   false   1118.9402200561658  
  8.95389      5.039034E-9    5.4876187E-11   false   1116.8330380535008  
  8.970753     5.764217E-9    8.004141E-11    false   1114.7336590933348  
  8.987615     6.602498E-9    5.7469387E-11   false   1112.6422760474977  
  9.0044775    7.5729405E-9   5.7845426E-11   false   1110.5586080906144  
  9.021339     8.698114E-9    5.0815085E-11   false   1108.4828469823121  
  9.038201     1.0004617E-8   7.9638456E-11   false   1106.414831067396   
  9.055064     1.1524201E-8   8.980709E-11    false   1104.3544007676521  
  9.071926     1.3294454E-8   9.1250986E-11   false   1102.3017461885304  
  9.088789     1.536019E-8    1.3011249E-10   false   1100.256592509396   
  9.105651     1.7774854E-8   1.362554E-10    false   1098.2191287422756  
  9.122514     2.0602442E-8   1.2239236E-10   false   1096.1890824135405  
  9.139376     2.3919485E-8   2.6585942E-10   false   1094.1666414492668  
  9.156238     2.7818155E-8   2.764637E-10    false   1092.1516494460843  
  9.1731       3.2409208E-8   4.2644457E-10   false   1090.1439519901508  
  9.189962     3.7826297E-8   1.6765611E-9    false   1088.1437353925864  
  9.206825     4.4231157E-8   4.603932E-10    false   1086.150732914746   
  9.223687     5.18198E-8     3.119981E-10    false   1084.1651298003658  
  9.240549     6.0830985E-8   5.9885025E-10   false   1082.1867732406631  
  9.257412     7.1555554E-8   9.386828E-10    false   1080.2155123569344  
  9.274274     8.434866E-8    5.1905197E-10   false   1078.2515308056809  
  9.291137     9.964645E-8    6.6249195E-10   false   1076.2945674004613  
  9.307999     1.1798471E-7   1.1182454E-9    false   1074.3448047487823  
  9.324862     1.4002529E-7   9.0696756E-10   false   1072.4019838356708  
  9.341723     1.6658603E-7   9.0050445E-10   false   1070.4662862269406  
  9.358585     1.9868386E-7   1.2975518E-9    false   1068.5375639394658  
  9.375448     2.3758581E-7   1.4057232E-9    false   1066.6156708409326  
  9.39231      2.848759E-7    2.6683964E-9    false   1064.7007869482527  
  9.409173     3.4254418E-7   2.0283049E-9    false   1062.792658555702   
  9.426035     4.1310093E-7   3.1181928E-9    false   1060.8914646566127  
  9.442898     4.9972135E-7   2.9587224E-9    false   1058.9969536224262  
  9.45976      6.06445E-7     4.759659E-9     false   1057.1093034300786  
  9.476622     7.384308E-7    3.185633E-9     false   1055.2283706945325  
  9.4934845    9.023054E-7    3.9535064E-9    false   1053.3540138066269  
  9.510346     1.1066159E-6   6.466129E-9     false   1051.4864092321136  
  9.527209     1.3624481E-6   3.733647E-8     false   1049.6253104228297  
  9.544071     1.6842816E-6   1.2854238E-8    false   1047.7708928459372  
  9.560933     2.09111E-6     9.755787E-9     false   1045.923016269233   
  9.577796     2.608033E-6    1.776512E-8     false   1044.0815421853547  
  9.594658     3.2684393E-6   1.7244817E-8    false   1042.2466445768139  
  9.611521     4.1170806E-6   1.9778273E-8    false   1040.4180818204459  
  9.628383     5.2144715E-6   2.9244065E-8    false   1038.5960269177447  
  9.645246     6.6429425E-6   3.6419454E-8    false   1036.7802401734743  
  9.662107     8.515821E-6    4.26518E-8      false   1034.9708936150723  
  9.678969     1.0990333E-5   6.851471E-8     false   1033.1678512503775  
  9.695832     1.4287387E-5   5.8512033E-8    false   1031.370978743888   
  9.712694     1.8720775E-5   1.0662769E-7    false   1029.5804466749366  
  9.729557     2.4741947E-5   1.4416317E-7    false   1027.7960200662997  
  9.746419     3.3010503E-5   1.6475869E-7    false   1026.0178685404821  
  9.763282     4.4505374E-5   2.3488201E-7    false   1024.2457589677524  
  9.780144     6.0707018E-5   2.7507244E-7    false   1022.47986002061    
  9.797006     8.389879E-5    3.945936E-7     false   1020.7200397550644  
  9.8138685    1.1769635E-4   7.7962835E-7    false   1018.9661678191924  
  9.83073      1.6797897E-4   8.333471E-7     false   1017.218411473198   
  9.847593     2.4464412E-4   2.6631062E-6    false   1015.476542109927   
  9.864455     3.650572E-4    6.084937E-6     false   1013.7407260564495  
  9.881317     5.613249E-4    8.4527965E-6    false   1012.0108341491888  
  9.89818      8.970206E-4    5.2646537E-6    false   1010.2867387725631  
  9.915042     0.0015105442   5.2452947E-6    false   1008.5686048664597  
  9.931905     0.0027489003   7.947715E-6     false   1006.8562082133348  
  9.948767     0.005716296    2.7252612E-5    false   1005.1497128365522  
  9.96563      0.027707791    1.6940346E-4    false   1003.4488962383681  
  9.9824915    0.042975333    2.4464764E-4    false   1001.7539215321932  
  9.999353     0.06625756     1.9839885E-4    false   1000.0646632997243  
  10.016216    0.08751274     2.692779E-4     false   998.3809976116763   
  10.033078    0.10866719     4.7693186E-4    false   996.703086228767    
  10.049941    0.15130839     6.14257E-4      false   995.0307108654129   
  10.066803    0.1634719      4.748964E-4     false   993.3640323886149   
  10.083666    0.173045       7.2716357E-4    false   991.7028341635544   
  10.100528    0.19381146     6.960799E-4     false   990.0472761699343   
  10.11739     0.24655525     9.1861805E-4    false   988.397236571874    
  10.134253    0.3088646      0.0012608174    false   986.7525949665244   
  10.151114    0.33719316     0.0014046013    false   985.1135100145949   
  10.167977    0.37743166     0.0015182665    false   983.479769125513    
  10.184839    0.39908668     0.0013528247    false   981.8515300885485   
  10.201701    0.42609584     0.0013816465    false   980.2286735321637   
  10.218564    0.4567505      0.0020124959    false   978.6110814795901   
  10.235426    0.48838994     0.0020056197    false   976.9989104246846   
  10.252289    0.47810832     0.001964543     false   975.3919517066679   
  10.269151    0.4726876      0.0018570051    false   973.7903609635415   
  10.286014    0.47816613     0.0019957735    false   972.19393107538     
  10.3028755   0.50049347     0.0015959231    false   970.6028168304863   
  10.319737    0.52592075     0.0016152585    false   969.0169021818535   
  10.3366      0.52456564     0.001815925     false   967.4360724259556   
  10.353462    0.5299186      0.001967435     false   965.8604810880078   
  10.370325    0.5627288      0.0017805144    false   964.2899248248632   
  10.387187    0.5836826      0.0018081082    false   962.7245563272402   
  10.40405     0.55754244     0.0014692973    false   961.1641737332549   
  10.420912    0.527436       0.0017446226    false   959.6089289051331   
  10.437774    0.5464437      0.0021815032    false   958.0587089813162   
  10.454637    0.5600619      0.001978358     false   956.5134023949505   
  10.4714985   0.5137101      0.0016103712    false   954.9731597766954   
  10.488361    0.4655543      0.0015635693    false   953.4377828963568   
  10.505223    0.46557137     0.001302096     false   951.9074215709193   
  10.522085    0.4950038      0.0017640061    false   950.3819651332532   
  10.538948    0.50686944     0.0018563748    false   948.8613041775466   
  10.55581     0.51373595     0.0013965518    false   947.3455873112415   
  10.572673    0.50665647     0.001300197     false   945.834619836769    
  10.589535    0.4791083      0.0013212254    false   944.3285495624433   
  10.606398    0.47149897     0.00124311      false   942.8271831768302   
  10.62326     0.5135351      0.0015814832    false   941.3306676948587   
  10.640121    0.55785036     0.0018158245    false   939.8388954139544   
  10.656984    0.544794       0.0018510686    false   938.351759848042    
  10.673846    0.51320195     0.001497965     false   936.8694068326558   
  10.690709    0.5350549      0.0016766785    false   935.391646456327    
  10.707571    0.59191096     0.002178007     false   933.9186237753727   
  10.724433    0.6125487      0.002490525     false   932.4502331312326   
  10.741296    0.58333576     0.002066019     false   930.9863700511362   
  10.758158    0.59428394     0.0016354622    false   929.5271784330574   
  10.775021    0.6496006      0.0016197116    false   928.0724716748207   
  10.7918825   0.7058982      0.0016260026    false   926.6223929090821   
  10.808745    0.71360654     0.001778459     false   925.1767568327314   
  10.825607    0.7225788      0.0017151316    false   923.7357058185934   
  10.842469    0.77772146     0.002188972     false   922.2991369717691   
  10.859332    0.8258317      0.002933074     false   920.8669485418907   
  10.876194    0.8275404      0.0032307145    false   919.4392817722382   
  10.893057    0.7951543      0.0028187542    false   918.0159545474522   
  10.909919    0.7551104      0.0029286277    false   916.5971073645097   
  10.926782    0.74739647     0.002079499     false   915.1825593597102   
  10.943644    0.7789962      0.002756301     false   913.7724502890658   
  10.9605055   0.81323034     0.0028176676    false   912.3666799124992   
  10.96113     0.8136068      0.0026779037    true    912.3146856444529   
  10.962802    0.81411403     0.0026779037    true    912.175560668936    
