# WAVENUMBER    TRANSMISSION    UNCERTAINTY     FLAG    lambda              
  0.0           4.2896463E-8    4.5130655E-9    false   Infinity            
  0.016860995   4.2898247E-8    4.5132573E-9    false   593084.7935159914   
  0.03372199    4.2903594E-8    4.513831E-9     false   296542.3967579957   
  0.050582986   4.2912482E-8    4.5147655E-9    false   197694.93117199713  
  0.06744398    4.2924956E-8    4.516078E-9     false   148271.19837899785  
  0.08430497    4.2941018E-8    4.517765E-9     false   118616.96394467559  
  0.10116597    4.296064E-8     4.5198427E-9    false   98847.46558599857   
  0.118026964   4.2983856E-8    4.5222963E-9    false   84726.40174793615   
  0.13488796    4.301062E-8     4.525123E-9     false   74135.59918949893   
  0.15174896    4.304103E-8     4.528342E-9     false   65898.31200840558   
  0.16860995    4.3075005E-8    4.531932E-9     false   59308.481972337795  
  0.18547095    4.311258E-8     4.535882E-9     false   53916.79832759489   
  0.20233195    4.3153793E-8    4.5402384E-9    false   49423.73279299928   
  0.21919294    4.3198654E-8    4.5449804E-9    false   45621.90796890424   
  0.23605393    4.324713E-8     4.5500914E-9    false   42363.200873968075  
  0.25291494    4.329926E-8     4.5555906E-9    false   39538.98565201309   
  0.26977593    4.3355097E-8    4.5615014E-9    false   37067.799594749464  
  0.28663692    4.3414587E-8    4.567782E-9     false   34887.34124847329   
  0.3034979     4.3477787E-8    4.5744524E-9    false   32949.15600420279   
  0.3203589     4.35447E-8      4.5815227E-9    false   31214.99022137017   
  0.3372199     4.3615373E-8    4.5889794E-9    false   29654.240986168898  
  0.3540809     4.3689745E-8    4.5968194E-9    false   28242.13451025054   
  0.3709419     4.3767926E-8    4.6050794E-9    false   26958.399163797447  
  0.3878029     4.3849905E-8    4.6137383E-9    false   25786.29512255364   
  0.4046639     4.3935692E-8    4.622804E-9     false   24711.86639649964   
  0.42152488    4.402532E-8     4.6322723E-9    false   23723.39195029874   
  0.43838587    4.4118813E-8    4.642147E-9     false   22810.95398445212   
  0.45524687    4.4216193E-8    4.65243E-9      false   21966.104002801865  
  0.47210786    4.4317492E-8    4.663124E-9     false   21181.600436984038  
  0.48896885    4.442273E-8     4.6742317E-9    false   20451.20055546779   
  0.5058299     4.4531944E-8    4.6857798E-9    false   19769.492826006546  
  0.52269083    4.464517E-8     4.6977435E-9    false   19131.7684872573    
  0.53955185    4.476242E-8     4.710132E-9     false   18533.899797374732  
  0.5564128     4.4883727E-8    4.722941E-9     false   17972.26755313143   
  0.57327384    4.5009134E-8    4.7361746E-9    false   17443.670624236645  
  0.59013486    4.5138673E-8    4.7498676E-9    false   16945.27927989803   
  0.6069958     4.527236E-8     4.7639945E-9    false   16474.578002101396  
  0.62385684    4.5410296E-8    4.7785704E-9    false   16029.318456523673  
  0.6407178     4.5552454E-8    4.79359E-9      false   15607.495110685086  
  0.6575788     4.5698858E-8    4.809063E-9     false   15207.30231169411   
  0.6744398     4.5849635E-8    4.824989E-9     false   14827.120493084449  
  0.6913008     4.6004736E-8    4.841376E-9     false   14465.482846634488  
  0.7081618     4.6164256E-8    4.858236E-9     false   14121.06725512527   
  0.7250228     4.6328246E-8    4.8755777E-9    false   13792.669829258202  
  0.7418838     4.6496698E-8    4.8933857E-9    false   13479.199581898723  
  0.7587448     4.666974E-8     4.9116706E-9    false   13179.662401681118  
  0.7756058     4.6847337E-8    4.9304316E-9    false   12893.14756127682   
  0.79246676    4.7029587E-8    4.949719E-9     false   12618.825809194257  
  0.8093278     4.7216545E-8    4.9694755E-9    false   12355.93319824982   
  0.82618874    4.740825E-8     4.9897406E-9    false   12103.771787428559  
  0.84304976    4.7604754E-8    5.0105187E-9    false   11861.69597514937   
  0.8599107     4.7806125E-8    5.0318096E-9    false   11629.114152526654  
  0.87677175    4.8012378E-8    5.053602E-9     false   11405.47699222606   
  0.89363277    4.8223622E-8    5.075952E-9     false   11190.278982996357  
  0.91049373    4.843992E-8     5.0988227E-9    false   10983.052001400933  
  0.92735475    4.8661317E-8    5.1222333E-9    false   10783.359838790942  
  0.9442157     4.8887884E-8    5.1462137E-9    false   10590.800218492019  
  0.96107674    4.9119663E-8    5.170715E-9     false   10404.996417804998  
  0.9779377     4.935674E-8     5.1958033E-9    false   10225.600277733894  
  0.9947987     4.9599205E-8    5.221442E-9     false   10052.28474879468   
  1.0116597     4.98471E-8      5.247682E-9     false   9884.746413003273   
  1.0285207     5.01005E-8      5.2744915E-9    false   9722.701709126612   
  1.0453817     5.0359514E-8    5.3019042E-9    false   9565.88424362865    
  1.0622427     5.062416E-8     5.329908E-9     false   9414.044044387794   
  1.0791037     5.0894563E-8    5.3585305E-9    false   9266.949898687366   
  1.0959647     5.1170773E-8    5.387758E-9     false   9124.381717839484   
  1.1128256     5.1452925E-8    5.4176383E-9    false   8986.133776565715   
  1.1296867     5.1741065E-8    5.448133E-9     false   8852.011697568902   
  1.1465477     5.203528E-8     5.479281E-9     false   8721.835312118323   
  1.1634086     5.233564E-8     5.5110934E-9    false   8595.43214788564    
  1.1802697     5.2642314E-8    5.5435567E-9    false   8472.639639949015   
  1.1971307     5.2955336E-8    5.576732E-9     false   8353.306924935223   
  1.2139916     5.3274782E-8    5.610559E-9     false   8237.289001050698   
  1.2308526     5.3600775E-8    5.6450826E-9    false   8124.449644266325   
  1.2477137     5.3933462E-8    5.6803264E-9    false   8014.659228261837   
  1.2645746     5.4272924E-8    5.7163043E-9    false   7907.797316766248   
  1.2814356     5.46192E-8      5.7529816E-9    false   7803.747555342543   
  1.2982966     5.4972507E-8    5.790438E-9     false   7702.400379913472   
  1.3151577     5.533287E-8     5.828636E-9     false   7603.651155847055   
  1.3320186     5.570044E-8     5.8675784E-9    false   7507.402596542514   
  1.3488796     5.6075315E-8    5.9073124E-9    false   7413.560246542224   
  1.3657407     5.645767E-8     5.947876E-9     false   7322.034348047071   
  1.3826016     5.6847576E-8    5.9892145E-9    false   7232.741423317244   
  1.3994626     5.724516E-8     6.0313776E-9    false   7145.600131112429   
  1.4163235     5.7650578E-8    6.0743734E-9    false   7060.533627562635   
  1.4331846     5.8063947E-8    6.1182073E-9    false   6977.468104601867   
  1.4500456     5.8485412E-8    6.1629346E-9    false   6896.334914629101   
  1.4669065     5.8915116E-8    6.2085284E-9    false   6817.066851822596   
  1.4837676     5.9353177E-8    6.2550045E-9    false   6739.599790949362   
  1.5006286     5.979979E-8     6.302397E-9     false   6663.87410099232    
