# WAVENUMBER    TRANSMISSION   UNCERTAINTY   FLAG    lambda              
  0.0           3.8162563E-7   0.0           false   Infinity            
  0.016861657   3.81634E-7     0.0           false   593061.53537358     
  0.033723313   3.8165916E-7   0.0           false   296530.76768679     
  0.05058497    3.8170074E-7   0.0           false   197687.18573711856  
  0.06744663    3.8175912E-7   0.0           false   148265.383843395    
  0.08430828    3.8183413E-7   0.0           false   118612.30969524905  
  0.10116994    3.8192587E-7   0.0           false   98843.59286855928   
  0.11803159    3.820343E-7    0.0           false   84723.08049296007   
  0.13489325    3.8215953E-7   0.0           false   74132.6919216975    
  0.1517549     3.8230127E-7   0.0           false   65895.73019665266   
  0.16861656    3.824602E-7    0.0           false   59306.15484762452   
  0.18547821    3.8263568E-7   0.0           false   53914.688823989134  
  0.20233987    3.828279E-7    0.0           false   49421.79643427964   
  0.21920152    3.8303702E-7   0.0           false   45620.12159453555   
  0.23606318    3.8326291E-7   0.0           false   42361.540246480035  
  0.25292483    3.835058E-7    0.0           false   39537.43889444592   
  0.2697865     3.8376558E-7   0.0           false   37066.34596084875   
  0.28664815    3.8404235E-7   0.0           false   34885.97380248268   
  0.3035098     3.8433626E-7   0.0           false   32947.86509832633   
  0.32037145    3.846471E-7    0.0           false   31213.767741822656  
  0.33723313    3.8497512E-7   0.0           false   29653.07742381226   
  0.35409477    3.8532E-7      0.0           false   28241.02683098669   
  0.37095642    3.8568245E-7   0.0           false   26957.344411994567  
  0.3878181     3.8606188E-7   0.0           false   25785.28451820854   
  0.40467975    3.8645868E-7   0.0           false   24710.89821713982   
  0.4215414     3.8687287E-7   0.0           false   23722.462777620436  
  0.43840304    3.8730417E-7   0.0           false   22810.060797267775  
  0.45526472    3.8775337E-7   0.0           false   21965.24267994506   
  0.47212636    3.8821997E-7   0.0           false   21180.770123240018  
  0.488988      3.8870402E-7   0.0           false   20450.39909579122   
  0.50584966    3.892058E-7    0.0           false   19768.71944722296   
  0.52271134    3.8972533E-7   0.0           false   19131.018020007887  
  0.539573      3.902627E-7    0.0           false   18533.172980424373  
  0.55643463    3.90818E-7     0.0           false   17971.562941329714  
  0.5732963     3.913913E-7    0.0           false   17442.98690124134   
  0.590158      3.919825E-7    0.0           false   16944.615242907734  
  0.6070196     3.9259197E-7   0.0           false   16473.932549163164  
  0.6238813     3.932195E-7    0.0           false   16028.690575925784  
  0.6407429     3.9386538E-7   0.0           false   15606.883870911328  
  0.6576046     3.9452982E-7   0.0           false   15206.706853598198  
  0.67446625    3.9521274E-7   0.0           false   14826.53871190613   
  0.69132787    3.959141E-7    0.0           false   14464.916627128703  
  0.70818955    3.9663408E-7   0.0           false   14120.513415493346  
  0.7250512     3.9737301E-7   0.0           false   13792.128977640466  
  0.74191284    3.9813108E-7   0.0           false   13478.672205997284  
  0.7587745     3.9890787E-7   0.0           false   13179.145780512428  
  0.7756362     3.9970377E-7   0.0           false   12892.64225910427   
  0.7924978     4.0051918E-7   0.0           false   12618.33134061482   
  0.8093595     4.0135356E-7   0.0           false   12355.44910856991   
  0.82622117    4.0220772E-7   0.0           false   12103.296776706391  
  0.8430828     4.030814E-7    0.0           false   11861.231388810218  
  0.85994446    4.0397495E-7   0.0           false   11628.657934160894  
  0.8768061     4.0488806E-7   0.0           false   11405.030398633888  
  0.89366776    4.0582145E-7   0.0           false   11189.840873133835  
  0.91052943    4.067751E-7    0.0           false   10982.62133997253   
  0.92739105    4.0774864E-7   0.0           false   10782.937764797829  
  0.9442527     4.0874286E-7   0.0           false   10590.385061620009  
  0.9611144     4.0975755E-7   0.0           false   10404.58860202133   
  0.977976      4.1079315E-7   0.0           false   10225.19954789561   
  0.9948377     4.118495E-7    0.0           false   10051.890862926675  
  1.0116993     4.129269E-7    0.0           false   9884.35972361148    
  1.028561      4.140255E-7    0.0           false   9722.320833036343   
  1.0454227     4.1514522E-7   0.0           false   9565.509010003943   
  1.0622844     4.162867E-7    0.0           false   9413.675346228803   
  1.079146      4.1744985E-7   0.0           false   9266.586490212187   
  1.0960076     4.186348E-7    0.0           false   9124.024442956032   
  1.1128693     4.19842E-7     0.0           false   8985.781470664857   
  1.1297309     4.2107135E-7   0.0           false   8851.665159488313   
  1.1465926     4.2232307E-7   0.0           false   8721.49345062067    
  1.1634543     4.2359747E-7   0.0           false   8595.094839402846   
  1.1803159     4.248944E-7    0.0           false   8472.308477138191   
  1.1971775     4.2621468E-7   0.0           false   8352.980034259872   
  1.2140392     4.2755798E-7   0.0           false   8236.966274581582   
  1.2309009     4.2892478E-7   0.0           false   8124.130978074281   
  1.2477626     4.3031486E-7   0.0           false   8014.345287962892   
  1.2646242     4.3172918E-7   0.0           false   7907.4872198420935  
  1.2814858     4.3316743E-7   0.0           false   7803.441935455664   
  1.2983475     4.3462975E-7   0.0           false   7702.0984034270205  
  1.3152092     4.3611695E-7   0.0           false   7603.353426799099   
  1.3320708     4.3762873E-7   0.0           false   7507.1083261292515  
  1.3489325     4.3916518E-7   0.0           false   7413.269355953065   
  1.3657942     4.4072723E-7   0.0           false   7321.747400217437   
  1.3826557     4.423145E-7    0.0           false   7232.458313564352   
  1.3995174     4.4392758E-7   0.0           false   7145.320150258906   
  1.4163791     4.455665E-7    0.0           false   7060.256707746673   
  1.4332408     4.4723183E-7   0.0           false   6977.194760496535   
  1.4501024     4.4892323E-7   0.0           false   6896.064488820233   
  1.466964      4.506417E-7    0.0           false   6816.799837084766   
  1.4838257     4.5238724E-7   0.0           false   6739.336102998642   
  1.5006874     4.5416013E-7   0.0           false   6663.613129194345   
  1.517549      4.559604E-7    0.0           false   6589.572890256214   
  1.5344107     4.577886E-7    0.0           false   6517.159911339487   
  1.5512724     4.596449E-7    0.0           false   6446.321129552135   
  1.568134      4.6152968E-7   0.0           false   6377.00624905878    
  1.5849956     4.6344317E-7   0.0           false   6309.16567030741    
  1.6018573     4.653859E-7    0.0           false   6242.7533160734865  
  1.618719      4.67358E-7     0.0           false   6177.724554284955   
  1.6355807     4.693597E-7    0.0           false   6114.03659336987    
  1.6524423     4.713915E-7    0.0           false   6051.6483883531955  
  1.6693039     4.734538E-7    0.0           false   5990.520980443238   
  1.6861656     4.7554673E-7   0.0           false   5930.615694405109   
  1.7030272     4.7767077E-7   0.0           false   5871.896653149497   
  1.7198889     4.7982616E-7   0.0           false   5814.328967080447   
  1.7367506     4.8201343E-7   0.0           false   5757.879101539442   
  1.7536122     4.842328E-7    0.0           false   5702.515199316944   
  1.7704738     4.864849E-7    0.0           false   5648.2054612733755  
  1.7873355     4.887697E-7    0.0           false   5594.9204365669175  
  1.8041972     4.910878E-7    0.0           false   5542.631394881022   
  1.8210589     4.9343953E-7   0.0           false   5491.310669986265   
  1.8379205     4.958255E-7    0.0           false   5440.931610928941   
  1.8547821     4.98246E-7     0.0           false   5391.4688823989145  
  1.8716438     5.007012E-7    0.0           false   5342.897028792611   
  1.8885055     5.031918E-7    0.0           false   5295.192530810004   
  1.9053671     5.0571816E-7   0.0           false   5248.332361281827   
  1.9222288     5.082808E-7    0.0           false   5202.294301010665   
  1.9390904     5.1087994E-7   0.0           false   5157.057220681644   
  1.955952      5.1351634E-7   0.0           false   5112.599773947805   
  1.9728137     5.1619025E-7   0.0           false   5068.902284532733   
  1.9896754     5.18902E-7     0.0           false   5025.945431463338   
  2.006537      5.2165274E-7   0.0           false   4983.710839296361   
  2.0233986     5.24442E-7     0.0           false   4942.17986180574    
  2.0402603     5.27271E-7     0.0           false   4901.335347635377   
  2.057122      5.3014E-7      0.0           false   4861.160416518172   
  2.0739837     5.3304933E-7   0.0           false   4821.638737139492   
  2.0908453     5.3599985E-7   0.0           false   4782.754505001972   
  2.107707      5.389922E-7    0.0           false   4744.492421352787   
  2.1245687     5.420262E-7    0.0           false   4706.837673114402   
  2.1414304     5.4510303E-7   0.0           false   4669.775913763484   
  2.158292      5.4822317E-7   0.0           false   4633.293245106093   
  2.1751535     5.513872E-7    0.0           false   4597.376703818976   
  2.1920152     5.545954E-7    0.0           false   4562.012221478016   
  2.2088768     5.5784847E-7   0.0           false   4527.187655597304   
  2.2257385     5.611474E-7    0.0           false   4492.890735332428   
  2.2426002     5.6449244E-7   0.0           false   4459.109558887396   
  2.2594619     5.678842E-7    0.0           false   4425.832579744157   
  2.2763236     5.7132326E-7   0.0           false   4393.048593504142   
  2.2931852     5.7481077E-7   0.0           false   4360.746725310335   
  2.310047      5.783469E-7    0.0           false   4328.916417820178   
  2.3269086     5.8193245E-7   0.0           false   4297.547419701423   
  2.3437703     5.855684E-7    0.0           false   4266.629774624548   
  2.360632      5.892548E-7    0.0           false   4236.153810726933   
  2.3774934     5.9299293E-7   0.0           false   4206.110552320364   
  2.394355      5.967835E-7    0.0           false   4176.490017129936   
  2.4112167     6.0062655E-7   0.0           false   4147.283755691472   
  2.4280784     6.0452345E-7   0.0           false   4118.483137290791   
  2.44494       6.084752E-7    0.0           false   4090.0797693026752  
  2.4618018     6.1248215E-7   0.0           false   4062.0654890371407  
  2.4786634     6.1654515E-7   0.0           false   4034.432355918489   
  2.4955251     6.2066465E-7   0.0           false   4007.172643981446   
  2.5123868     6.2484224E-7   0.0           false   3980.2788346694556  
  2.5292485     6.290783E-7    0.0           false   3953.7436099210468  
  2.5461102     6.3337336E-7   0.0           false   3927.559845530922   
  2.5629716     6.377291E-7    0.0           false   3901.720967727832   
  2.5798333     6.4214595E-7   0.0           false   3876.219490499838   
  2.596695      6.46625E-7     0.0           false   3851.0492017135102  
  2.6135566     6.5116666E-7   0.0           false   3826.20369126179    
  2.6304183     6.557723E-7    0.0           false   3801.6767133995495  
  2.64728       6.604429E-7    0.0           false   3777.4621815091223  
  2.6641417     6.65179E-7     0.0           false   3753.5541630646258  
  2.6810033     6.6998183E-7   0.0           false   3729.946874786293   
  2.697865      6.748531E-7    0.0           false   3706.6346779765327  
  2.7147267     6.7979244E-7   0.0           false   3683.612074029791   
  2.7315884     6.848021E-7    0.0           false   3660.8737001087184  
  2.7484498     6.8988277E-7   0.0           false   3638.4146405994393  
  2.7653115     6.9503517E-7   0.0           false   3616.229156782176   
  2.7821732     7.002604E-7    0.0           false   3594.3125882659424  
  2.7990348     7.055604E-7    0.0           false   3572.660075129453   
  2.8158965     7.1093575E-7   0.0           false   3551.2668738568655  
  2.8327582     7.1638704E-7   0.0           false   3530.1283538733364  
  2.8496199     7.219168E-7    0.0           false   3509.239994203564   
  2.8664815     7.275253E-7    0.0           false   3488.5973802482677  
  2.8833432     7.332136E-7    0.0           false   3468.196200673777   
  2.900205      7.3898383E-7   0.0           false   3448.0322444101166  
  2.9170666     7.448363E-7    0.0           false   3428.1013977532116  
  2.933928      7.507731E-7    0.0           false   3408.399918542383   
  2.9507897     7.567952E-7    0.0           false   3388.9233224005247  
  2.9676514     7.62904E-7     0.0           false   3369.668051499321   
  2.984513      7.6910095E-7   0.0           false   3350.6303545587116  
  3.0013747     7.7538715E-7   0.0           false   3331.8065645971724  
  3.0182364     7.817645E-7    0.0           false   3313.1930965770025  
  3.035098      7.8823405E-7   0.0           false   3294.786445128107   
  3.0519598     7.9479815E-7   0.0           false   3276.583182347231   
  3.0688214     8.0145696E-7   0.0           false   3258.5799556697434  
  3.085683      8.0821303E-7   0.0           false   3240.773485811208   
  3.1025448     8.1506784E-7   0.0           false   3223.1605647760675  
  3.1194062     8.2202246E-7   0.0           false   3205.7382989479     
  3.136268      8.290794E-7    0.0           false   3188.50312452939    
  3.1531296     8.36239E-7     0.0           false   3171.452283764067   
  3.1699913     8.435045E-7    0.0           false   3154.582835153705   
  3.186853      8.50877E-7     0.0           false   3137.891899454088   
  3.2037146     8.5835813E-7   0.0           false   3121.3766580367433  
  3.2205763     8.6594974E-7   0.0           false   3105.0343513021394  
  3.237438      8.736536E-7    0.0           false   3088.8622771424775  
  3.2542996     8.8147203E-7   0.0           false   3072.8577894522605  
  3.2711613     8.894065E-7    0.0           false   3057.018296684935   
  3.288023      8.9745924E-7   0.0           false   3041.3412604539435  
  3.3048847     9.0563213E-7   0.0           false   3025.8241941765978  
  3.321746      9.139272E-7    0.0           false   3010.464877835591   
  3.3386078     9.223471E-7    0.0           false   2995.260490221619   
  3.3554695     9.3089324E-7   0.0           false   2980.2089107188012  
  3.3723311     9.395676E-7    0.0           false   2965.3078472025545  
  3.3891928     9.4837316E-7   0.0           false   2950.555053162771   
  3.4060545     9.573115E-7    0.0           false   2935.9483265747485  
  3.4229162     9.663856E-7    0.0           false   2921.485508803489   
  3.4397779     9.755973E-7    0.0           false   2907.1644835402235  
  3.4566395     9.849489E-7    0.0           false   2892.983175770063   
  3.4735012     9.944437E-7    0.0           false   2878.939550769721   
  3.490363      1.0040834E-6   0.0           false   2865.0316131342815  
  3.5072243     1.0138707E-6   0.0           false   2851.257599658472   
  3.524086      1.0238081E-6   0.0           false   2837.615201262586   
  3.5409477     1.0338989E-6   0.0           false   2824.1027306366877  
  3.5578094     1.0441452E-6   0.0           false   2810.71834046416    
  3.574671      1.0545494E-6   0.0           false   2797.4602182834587  
  3.5915327     1.0651156E-6   0.0           false   2784.326585669922   
  3.6083944     1.0758455E-6   0.0           false   2771.315697440511   
  3.625256      1.0867428E-6   0.0           false   2758.4258408807486  
  3.6421177     1.0978098E-6   0.0           false   2745.6553349931323  
  3.6589794     1.1090505E-6   0.0           false   2733.0025297663265  
  3.675841      1.1204677E-6   0.0           false   2720.4658054644706  
  3.6927025     1.1320636E-6   0.0           false   2708.0437467802344  
  3.7095642     1.1438434E-6   0.0           false   2695.7344411994573  
  3.726426      1.1558087E-6   0.0           false   2683.5365321918184  
  3.7432876     1.1679635E-6   0.0           false   2671.4485143963057  
  3.7601492     1.1803119E-6   0.0           false   2659.4689094539294  
  3.777011      1.1928564E-6   0.0           false   2647.596265405002   
  3.7938726     1.2056015E-6   0.0           false   2635.8291561024857  
  3.8107343     1.2185503E-6   0.0           false   2624.1661806409134  
  3.827596      1.2317076E-6   0.0           false   2612.6059628004086  
  3.8444576     1.245076E-6    0.0           false   2601.1471505053323  
  3.8613193     1.2586597E-6   0.0           false   2589.7884152971183  
  3.8781807     1.2724638E-6   0.0           false   2578.528610340822   
  3.8950424     1.2864916E-6   0.0           false   2567.3661344756733  
  3.911904      1.3007482E-6   0.0           false   2556.2998869739026  
  3.9287658     1.3152359E-6   0.0           false   2545.328628842127   
  3.9456275     1.3299613E-6   0.0           false   2534.4511422663663  
